ano,tipo,suma_ccaa,total_raw,delta,rel,usar_raw
2016,2.2.-otros contra la libertad,100553,100939,386,0.00383877159309021,TRUE
2016,3. libertad sexual,10812,10844,32,0.00295967443581206,TRUE
2016,3.1.-agresion sexual,6221,6233,12,0.00192895032952901,TRUE
2016,3.2.-agresion sexual con penetracion,1783,1793,10,0.00560852495793606,TRUE
2016,3.3.-corrupcion de menores o incapacitados,367,368,1,0.00272479564032697,TRUE
2016,3.4.-pornografia de menores,615,621,6,0.00975609756097561,TRUE
2016,3.5.-otros contra la libertad sexual,1826,1829,3,0.00164293537787513,TRUE
2016,4. relaciones familiares,7945,8043,98,0.01233480176211453,TRUE
2016,5. patrimonio,1555626,1572967,17341,0.01114728090170773,FALSE
2016,5.1.-hurtos,708625,711507,2882,0.00406703122243781,TRUE
2016,5.2.-robos con fuerza en las cosas,317887,318164,277,8.713788232925536e-4,TRUE
2016,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,104106,104274,168,0.00161373984208402,TRUE
2016,5.2.2.-robos con fuerza en viviendas,113273,113299,26,2.2953395778340825e-4,TRUE
2016,5.2.3.-robos con fuerza en establecimientos,37607,37619,12,3.1908953120429707e-4,TRUE
2016,5.3.-robos con violencia o intimidacion,62716,62952,236,0.00376299508897251,TRUE
2016,5.3.1.-robos con violencia en via publica,28741,28900,159,0.00553216659128074,FALSE
2016,5.3.2.-robos con violencia en viviendas,3520,3521,1,2.840909090909091e-4,TRUE
2016,5.3.3.-robos con violencia en establecimientos,5152,5174,22,0.00427018633540372,TRUE
2016,5.4.-sustraccion de vehiculos,43242,43335,93,0.00215068683224642,TRUE
2016,5.5.-estafas,166221,179756,13535,0.08142773777079912,FALSE
2016,5.5.1.-estafas informaticas,66114,70178,4064,0.06146958284175817,FALSE
2016,5.6.-danos,214677,214709,32,1.490611476776739e-4,TRUE
2016,5.7.-contra la propiedad intelectual/industrial,1884,1889,5,0.00265392781316348,TRUE
2016,5.8.-blanqueo de capitales,251,262,11,0.04382470119521912,TRUE
2016,5.9.-otros contra el patrimonio,40123,40393,270,0.00672930737980709,FALSE
2016,6. seguridad colectiva,58335,58350,15,2.5713551041398817e-4,TRUE
2016,6.1.-trafico de drogas,12434,12448,14,0.00112594498954479,TRUE
2016,6.2.-contra la seguridad vial,43912,43913,1,2.277281836400073e-5,TRUE
2016,6.3.-otros contra la seguridad colectiva,1989,1989,0,0,TRUE
2016,7. falsedades,19480,19958,478,0.02453798767967146,FALSE
2016,8. admon. publica,549,553,4,0.00728597449908925,TRUE
2016,9. admon. justicia,27625,27647,22,7.963800904977375e-4,TRUE
2016,total infracciones penales,1991149,2009690,18541,0.00931170896803805,FALSE
2017,1. contra las personas,174082,174217,135,7.754966050481957e-4,TRUE
2017,1.1.-homicidios dolosos/asesinatos,1106,1106,0,0,TRUE
2017,1.1.1.-homicidios dolosos/asesinatos consumados,307,307,0,0,TRUE
2017,1.2.-lesiones,100335,100354,19,1.893656251557283e-4,TRUE
2017,1.3.-malos tratos ambito familiar,69697,69812,115,0.001649999282609,TRUE
2017,1.4.-otros contra las personas,2944,2945,1,3.3967391304347825e-4,TRUE
2017,10. orden publico,19588,19591,3,1.53154992852767e-4,TRUE
