ano,tipo,total,total_row,delta,rel,usar_row
2017,5.2.2.-robos con fuerza en viviendas,13029,13030,-1,7.674597083653108e-5,TRUE
2017,5.2.3.-robos con fuerza en establecimientos,7787,7789,-2,2.567723712928489e-4,TRUE
2017,5.3.-robos con violencia o intimidacion,16047,16049,-2,1.246183562838806e-4,TRUE
2017,5.3.1.-robos con violencia en via publica,6461,6463,-2,3.0945381401825775e-4,TRUE
2017,5.3.2.-robos con violencia en viviendas,1119,1119,0,0,TRUE
2017,5.3.3.-robos con violencia en establecimientos,2901,2901,0,0,TRUE
2017,5.4.-sustraccion de vehiculos,11825,11909,-84,0.00705348895793097,TRUE
2017,5.5.-estafas,38826,39235,-409,0.01042436599974512,FALSE
2017,5.5.1.-estafas informaticas,12688,12893,-205,0.0159001008299077,FALSE
2017,5.6.-danos,27280,27284,-4,1.4660606949127694e-4,TRUE
2017,5.7.-contra la propiedad intelectual/industrial,1446,1447,-1,6.91085003455425e-4,TRUE
2017,5.8.-blanqueo de capitales,232,241,-9,0.03734439834024896,TRUE
2017,5.9.-otros contra el patrimonio,24893,24955,-62,0.00248447204968944,TRUE
2017,6. seguridad colectiva,54609,54620,-11,2.0139143170999635e-4,TRUE
2017,6.1.-trafico de drogas,12116,12126,-10,8.246742536698004e-4,TRUE
2017,6.2.-contra la seguridad vial,40882,40882,0,0,TRUE
2017,6.3.-otros contra la seguridad colectiva,1611,1612,-1,6.203473945409429e-4,TRUE
2017,7. falsedades,12211,12764,-553,0.04332497649639611,FALSE
2017,8. admon. publica,531,532,-1,0.0018796992481203,TRUE
