nacionalidad,sexo,grupo_raw,periodo
Total,Hombres,De 0 a 4 años,1 de julio de 2005
Total,Hombres,De 0 a 4 años,1 de abril de 2005
Total,Hombres,De 0 a 4 años,1 de enero de 2005
Total,Hombres,De 0 a 4 años,1 de octubre de 2004
Total,Hombres,De 0 a 4 años,1 de julio de 2004
Total,Hombres,De 0 a 4 años,1 de abril de 2004
Total,Hombres,De 0 a 4 años,1 de enero de 2004
Total,Hombres,De 0 a 4 años,1 de octubre de 2003
Total,Hombres,De 0 a 4 años,1 de julio de 2003
Total,Hombres,De 0 a 4 años,1 de abril de 2003
Total,Hombres,De 0 a 4 años,1 de enero de 2003
Total,Hombres,De 0 a 4 años,1 de octubre de 2002
Total,Hombres,De 0 a 4 años,1 de julio de 2002
Total,Hombres,De 0 a 4 años,1 de abril de 2002
Total,Hombres,De 0 a 4 años,1 de enero de 2002
Total,Mujeres,De 0 a 4 años,1 de enero de 2024
Total,Mujeres,De 0 a 4 años,1 de octubre de 2023
Total,Mujeres,De 0 a 4 años,1 de julio de 2023
Total,Mujeres,De 0 a 4 años,1 de abril de 2023
Total,Mujeres,De 0 a 4 años,1 de enero de 2023
Total,Mujeres,De 0 a 4 años,1 de octubre de 2022
Total,Mujeres,De 0 a 4 años,1 de julio de 2022
Total,Mujeres,De 0 a 4 años,1 de abril de 2022
Total,Mujeres,De 0 a 4 años,1 de enero de 2022
Total,Mujeres,De 0 a 4 años,1 de octubre de 2021
Total,Mujeres,De 0 a 4 años,1 de julio de 2021
Total,Mujeres,De 0 a 4 años,1 de abril de 2021
Total,Mujeres,De 0 a 4 años,1 de enero de 2021
Total,Mujeres,De 0 a 4 años,1 de octubre de 2020
Total,Mujeres,De 0 a 4 años,1 de julio de 2020
Total,Mujeres,De 0 a 4 años,1 de abril de 2020
Total,Mujeres,De 0 a 4 años,1 de enero de 2020
Total,Mujeres,De 0 a 4 años,1 de octubre de 2019
Total,Mujeres,De 0 a 4 años,1 de julio de 2019
Total,Mujeres,De 0 a 4 años,1 de abril de 2019
Total,Mujeres,De 0 a 4 años,1 de enero de 2019
Total,Mujeres,De 0 a 4 años,1 de octubre de 2018
Total,Mujeres,De 0 a 4 años,1 de julio de 2018
Total,Mujeres,De 0 a 4 años,1 de abril de 2018
Total,Mujeres,De 0 a 4 años,1 de enero de 2018
Total,Mujeres,De 0 a 4 años,1 de octubre de 2017
Total,Mujeres,De 0 a 4 años,1 de julio de 2017
Total,Mujeres,De 0 a 4 años,1 de abril de 2017
Total,Mujeres,De 0 a 4 años,1 de enero de 2017
Total,Mujeres,De 0 a 4 años,1 de octubre de 2016
Total,Mujeres,De 0 a 4 años,1 de julio de 2016
Total,Mujeres,De 0 a 4 años,1 de abril de 2016
Total,Mujeres,De 0 a 4 años,1 de enero de 2016
Total,Mujeres,De 0 a 4 años,1 de octubre de 2015
Total,Mujeres,De 0 a 4 años,1 de julio de 2015
Total,Mujeres,De 0 a 4 años,1 de abril de 2015
Total,Mujeres,De 0 a 4 años,1 de enero de 2015
Total,Mujeres,De 0 a 4 años,1 de octubre de 2014
Total,Mujeres,De 0 a 4 años,1 de julio de 2014
Total,Mujeres,De 0 a 4 años,1 de abril de 2014
Total,Mujeres,De 0 a 4 años,1 de enero de 2014
Total,Mujeres,De 0 a 4 años,1 de octubre de 2013
Total,Mujeres,De 0 a 4 años,1 de julio de 2013
Total,Mujeres,De 0 a 4 años,1 de abril de 2013
Total,Mujeres,De 0 a 4 años,1 de enero de 2013
Total,Mujeres,De 0 a 4 años,1 de octubre de 2012
Total,Mujeres,De 0 a 4 años,1 de julio de 2012
Total,Mujeres,De 0 a 4 años,1 de abril de 2012
Total,Mujeres,De 0 a 4 años,1 de enero de 2012
Total,Mujeres,De 0 a 4 años,1 de octubre de 2011
Total,Mujeres,De 0 a 4 años,1 de julio de 2011
Total,Mujeres,De 0 a 4 años,1 de abril de 2011
Total,Mujeres,De 0 a 4 años,1 de enero de 2011
Total,Mujeres,De 0 a 4 años,1 de octubre de 2010
Total,Mujeres,De 0 a 4 años,1 de julio de 2010
