ano,tipo,he,total_hc,delta,flag
2018,3.2.-agresion sexual con penetracion,2311,2744,-433,TRUE
2018,3.3.-corrupcion de menores o incapacitados,206,268,-62,TRUE
2018,3.4.-pornografia de menores,664,892,-228,TRUE
2018,3.5.-otros contra la libertad sexual,1257,1895,-638,TRUE
2018,4. relaciones familiares,7029,7630,-601,TRUE
2018,5. patrimonio,280567,1650764,-1370197,TRUE
2018,5.1.-hurtos,109897,706072,-596175,TRUE
2018,5.2.-robos con fuerza en las cosas,40362,302043,-261681,TRUE
2018,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,8272,102474,-94202,TRUE
2018,5.2.2.-robos con fuerza en viviendas,12028,107166,-95138,TRUE
2018,5.2.3.-robos con fuerza en establecimientos,7004,33129,-26125,TRUE
2018,5.3.-robos con violencia o intimidacion,16039,60295,-44256,TRUE
2018,5.3.1.-robos con violencia en via publica,5993,24490,-18497,TRUE
2018,5.3.2.-robos con violencia en viviendas,1153,3233,-2080,TRUE
2018,5.3.3.-robos con violencia en establecimientos,2954,5355,-2401,TRUE
2018,5.4.-sustraccion de vehiculos,10918,35897,-24979,TRUE
2018,5.5.-estafas,45780,279723,-233943,TRUE
2018,5.5.1.-estafas informaticas,15377,132834,-117457,TRUE
2018,5.6.-danos,26845,213815,-186970,TRUE
2018,5.7.-contra la propiedad intelectual/industrial,2020,2205,-185,TRUE
2018,5.8.-blanqueo de capitales,251,272,-21,TRUE
2018,5.9.-otros contra el patrimonio,28455,54384,-25929,TRUE
2018,6. seguridad colectiva,59213,64126,-4913,TRUE
2018,6.1.-trafico de drogas,13130,14133,-1003,TRUE
2018,6.2.-contra la seguridad vial,44382,47648,-3266,TRUE
2018,6.3.-otros contra la seguridad colectiva,1701,2345,-644,TRUE
2018,7. falsedades,13744,22008,-8264,TRUE
2018,8. admon. publica,446,510,-64,TRUE
2018,9. admon. justicia,28824,30290,-1466,TRUE
2018,total infracciones penales,672512,NA,NA,TRUE
2019,1. contra las personas,159753,186110,-26357,TRUE
2019,1.1.-homicidios dolosos/asesinatos,1088,1167,-79,TRUE
2019,1.1.1.-homicidios dolosos/asesinatos consumados,253,331,-78,TRUE
2019,1.2.-lesiones,79521,103341,-23820,TRUE
2019,1.3.-malos tratos ambito familiar,76022,77424,-1402,TRUE
2019,1.4.-otros contra las personas,3122,4178,-1056,TRUE
