ano,delito5,total,extranjeros,espanoles
2019,6.3.-otros contra la seguridad colectiva,1490,291,1199
2019,7. falsedades,11288,7060,4228
2019,8. admon. publica,446,46,400
2019,9. admon. justicia,21416,4401,17015
2019,total infracciones penales,411903,107676,304227
2020,1. contra las personas,96238,28944,67294
2020,1.1.-homicidios dolosos/asesinatos,1225,381,844
2020,1.1.1.-homicidios dolosos/asesinatos consumados,377,101,276
2020,1.2.-lesiones,32334,9300,23034
2020,1.3.-malos tratos ambito familiar,60547,18595,41952
2020,1.4.-otros contra las personas,2132,668,1464
2020,10. orden publico,27668,9525,18143
2020,11. legislacion especial,585,123,462
2020,12. otras infracciones penales,5061,1115,3946
2020,2. contra la libertad,45672,10743,34929
2020,2.1.-malos tratos habituales en el ambito familiar,9514,2598,6916
2020,2.2.-otros contra la libertad,36158,8145,28013
2020,3. libertad sexual,7991,2622,5369
2020,3.1.-agresion sexual,4553,1520,3033
2020,3.2.-agresion sexual con penetracion,1860,703,1157
2020,3.3.-corrupcion de menores o incapacitados,163,23,140
2020,3.4.-pornografia de menores,453,71,382
2020,3.5.-otros contra la libertad sexual,962,305,657
2020,4. relaciones familiares,2339,583,1756
2020,5. patrimonio,139280,51452,87828
2020,5.1.-hurtos,49103,20369,28734
2020,5.2.-robos con fuerza en las cosas,25748,8497,17251
2020,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,3971,1086,2885
2020,5.2.2.-robos con fuerza en viviendas,8563,3114,5449
2020,5.2.3.-robos con fuerza en establecimientos,6515,2058,4457
2020,5.3.-robos con violencia o intimidacion,14160,5941,8219
2020,5.3.1.-robos con violencia en via publica,8029,3810,4219
2020,5.3.2.-robos con violencia en viviendas,1295,399,896
2020,5.3.3.-robos con violencia en establecimientos,3160,1008,2152
2020,5.4.-sustraccion de vehiculos,3309,858,2451
2020,5.5.-estafas,14572,3447,11125
2020,5.5.1.-estafas informaticas,5343,1244,4099
2020,5.6.-danos,10554,2679,7875
2020,5.7.-contra la propiedad intelectual/industrial,843,485,358
2020,5.8.-blanqueo de capitales,502,87,415
2020,5.9.-otros contra el patrimonio,20489,9089,11400
2020,6. seguridad colectiva,57625,14657,42968
2020,6.1.-trafico de drogas,22771,6388,16383
2020,6.2.-contra la seguridad vial,33526,7992,25534
2020,6.3.-otros contra la seguridad colectiva,1328,277,1051
2020,7. falsedades,9519,5382,4137
2020,8. admon. publica,360,21,339
2020,9. admon. justicia,22722,5941,16781
2020,total infracciones penales,415060,131108,283952
2021,1. contra las personas,108154,32835,75319
2021,1.1.-homicidios dolosos/asesinatos,1312,439,873
2021,1.1.1.-homicidios dolosos/asesinatos consumados,360,112,248
2021,1.2.-lesiones,38573,10961,27612
2021,1.3.-malos tratos ambito familiar,65618,20563,45055
2021,1.4.-otros contra las personas,2651,872,1779
2021,10. orden publico,23962,8409,15553
2021,11. legislacion especial,574,131,443
2021,12. otras infracciones penales,5949,1615,4334
2021,2. contra la libertad,49856,12203,37653
2021,2.1.-malos tratos habituales en el ambito familiar,10222,2784,7438
2021,2.2.-otros contra la libertad,39634,9419,30215
2021,3. libertad sexual,10477,3605,6872
2021,3.1.-agresion sexual,6252,2188,4064
