window,var,mode,test,n_obs,stat,cv_1pct,cv_5pct,cv_10pct,reject_1pct,reject_5pct,reject_10pct,za_break_index,za_break_year
sin_covid_2010_2023,tasa_he_por_100k,diff,"PP(Z-tau,trend,long)",11,-1.0821419581669731,-5.2735,-3.9948,-3.4455,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,diff,KPSS(mu: level),11,0.31376531105695726,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,diff,KPSS(tau: trend),11,0.13648227383409764,0.216,0.146,0.119,FALSE,FALSE,TRUE,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,diff,"ERS(DF-GLS,const)",11,-0.5025087427959284,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,diff,"ERS(DF-GLS,trend)",11,-1.7471172014894216,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,level,"ADF(drift,lag<=1,tau2)",12,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,level,"ADF(trend,lag<=1,tau3)",12,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,level,"PP(Z-tau,const,long)",12,-1.2349353282603688,-4.220599173553719,-3.1800999999999995,-2.7348520661157023,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,level,"PP(Z-tau,trend,long)",12,-1.134313921185263,-5.115229752066115,-3.927137190082645,-3.4103628099173555,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,level,KPSS(mu: level),12,0.1493649166094988,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,level,KPSS(tau: trend),12,0.11295074648638788,0.216,0.146,0.119,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,level,"ERS(DF-GLS,const)",12,-2.189891947721423,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,level,"ERS(DF-GLS,trend)",12,-2.472225159374646,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,level,ZA(break:both),12,-2.2241995129805243,NA,NA,NA,NA,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,diff,"ADF(drift,lag<=1,tau2)",11,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,diff,"ADF(trend,lag<=1,tau3)",11,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
