Comunidades autónomas;Tipología penal;Sexo;periodo;Total
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2016;5.174
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2015;4.655
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2014;4.529
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2013;5.366
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2012;5.432
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2011;6.125
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2010;5.114
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2023;2.504
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2022;2.186
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2021;1.963
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2020;1.785
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2019;1.240
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2018;1.197
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2017;1.089
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2016;963
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2015;677
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2014;590
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2013;725
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2012;694
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2011;674
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Femenino;2010;439
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2023;15.586
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2022;13.428
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2021;12.203
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2020;10.743
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2019;8.019
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2018;7.161
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2017;6.676
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2016;6.137
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2015;5.332
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2014;5.119
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2013;6.091
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2012;6.126
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2011;6.799
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Ambos sexos;2010;5.553
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2023;3.201
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2022;2.788
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2021;2.535
