Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2012;41.559
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2011;41.250
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2010;48.958
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2023;64.711
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2022;63.392
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2021;53.073
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2020;45.263
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2019;65.874
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2018;60.295
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2017;61.763
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2016;62.952
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2015;64.581
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2014;70.855
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2013;86.034
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2012;96.607
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2011;87.718
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2010;84.411
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2023;44.406
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2022;43.100
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2021;35.726
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2020;30.162
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2019;25.916
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2018;24.681
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2017;27.561
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2016;28.900
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2015;28.949
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2014;31.830
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2013;38.975
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2012;45.144
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2011;38.831
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2010;42.238
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2023;3.844
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2022;3.669
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2021;3.477
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2020;3.208
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2019;3.223
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2018;3.233
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2017;3.389
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2016;3.521
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2015;3.929
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2014;4.697
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2013;6.306
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2012;6.912
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2011;5.450
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2010;4.950
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2023;8.238
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2022;8.210
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2021;6.663
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2020;6.138
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2019;5.609
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2018;5.355
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2017;5.383
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2016;5.174
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2015;5.168
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2014;5.489
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2013;6.747
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2012;6.822
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2011;6.458
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2010;7.772
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2023;32.839
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2022;30.767
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2021;26.417
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2020;25.387
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2019;35.105
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2018;35.897
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2017;42.519
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2016;43.335
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2015;43.170
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2014;43.206
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2013;48.855
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2012;55.197
