nacionalidad,grupo_quinquenal_de_edad,sexo,periodo,total
Total,De 0 a 4 años,Hombres,1 de julio de 2018,1.063.618
Total,De 0 a 4 años,Hombres,1 de abril de 2018,
Total,De 0 a 4 años,Hombres,1 de enero de 2018,1.077.476
Total,De 0 a 4 años,Hombres,1 de octubre de 2017,
Total,De 0 a 4 años,Hombres,1 de julio de 2017,1.085.676
Total,De 0 a 4 años,Hombres,1 de abril de 2017,
Total,De 0 a 4 años,Hombres,1 de enero de 2017,1.101.223
Total,De 0 a 4 años,Hombres,1 de octubre de 2016,
Total,De 0 a 4 años,Hombres,1 de julio de 2016,1.112.428
Total,De 0 a 4 años,Hombres,1 de abril de 2016,
Total,De 0 a 4 años,Hombres,1 de enero de 2016,1.129.477
Total,De 0 a 4 años,Hombres,1 de octubre de 2015,
Total,De 0 a 4 años,Hombres,1 de julio de 2015,1.141.458
Total,De 0 a 4 años,Hombres,1 de abril de 2015,
Total,De 0 a 4 años,Hombres,1 de enero de 2015,1.159.445
Total,De 0 a 4 años,Hombres,1 de octubre de 2014,
Total,De 0 a 4 años,Hombres,1 de julio de 2014,1.173.636
Total,De 0 a 4 años,Hombres,1 de abril de 2014,
Total,De 0 a 4 años,Hombres,1 de enero de 2014,1.193.987
Total,De 0 a 4 años,Hombres,1 de octubre de 2013,
Total,De 0 a 4 años,Hombres,1 de julio de 2013,1.218.306
Total,De 0 a 4 años,Hombres,1 de abril de 2013,
Total,De 0 a 4 años,Hombres,1 de enero de 2013,1.248.452
Total,De 0 a 4 años,Hombres,1 de octubre de 2012,
Total,De 0 a 4 años,Hombres,1 de julio de 2012,1.262.104
Total,De 0 a 4 años,Hombres,1 de abril de 2012,
Total,De 0 a 4 años,Hombres,1 de enero de 2012,1.278.206
Total,De 0 a 4 años,Hombres,1 de octubre de 2011,
Total,De 0 a 4 años,Hombres,1 de julio de 2011,1.281.798
Total,De 0 a 4 años,Hombres,1 de abril de 2011,
Total,De 0 a 4 años,Hombres,1 de enero de 2011,1.289.347
Total,De 0 a 4 años,Hombres,1 de octubre de 2010,
Total,De 0 a 4 años,Hombres,1 de julio de 2010,1.283.815
Total,De 0 a 4 años,Hombres,1 de abril de 2010,
Total,De 0 a 4 años,Hombres,1 de enero de 2010,1.287.318
Total,De 0 a 4 años,Mujeres,1 de octubre de 2023,852.742
Total,De 0 a 4 años,Mujeres,1 de julio de 2023,857.946
Total,De 0 a 4 años,Mujeres,1 de abril de 2023,863.777
Total,De 0 a 4 años,Mujeres,1 de enero de 2023,868.519
Total,De 0 a 4 años,Mujeres,1 de octubre de 2022,874.312
Total,De 0 a 4 años,Mujeres,1 de julio de 2022,878.980
Total,De 0 a 4 años,Mujeres,1 de abril de 2022,883.602
Total,De 0 a 4 años,Mujeres,1 de enero de 2022,890.247
Total,De 0 a 4 años,Mujeres,1 de octubre de 2021,896.460
Total,De 0 a 4 años,Mujeres,1 de julio de 2021,904.587
Total,De 0 a 4 años,Mujeres,1 de abril de 2021,914.046
Total,De 0 a 4 años,Mujeres,1 de enero de 2021,929.439
Total,De 0 a 4 años,Mujeres,1 de octubre de 2020,
Total,De 0 a 4 años,Mujeres,1 de julio de 2020,950.027
Total,De 0 a 4 años,Mujeres,1 de abril de 2020,
Total,De 0 a 4 años,Mujeres,1 de enero de 2020,970.064
Total,De 0 a 4 años,Mujeres,1 de octubre de 2019,
Total,De 0 a 4 años,Mujeres,1 de julio de 2019,980.664
Total,De 0 a 4 años,Mujeres,1 de abril de 2019,
Total,De 0 a 4 años,Mujeres,1 de enero de 2019,995.762
Total,De 0 a 4 años,Mujeres,1 de octubre de 2018,
Total,De 0 a 4 años,Mujeres,1 de julio de 2018,1.002.765
Total,De 0 a 4 años,Mujeres,1 de abril de 2018,
Total,De 0 a 4 años,Mujeres,1 de enero de 2018,1.015.643
Total,De 0 a 4 años,Mujeres,1 de octubre de 2017,
Total,De 0 a 4 años,Mujeres,1 de julio de 2017,1.023.234
Total,De 0 a 4 años,Mujeres,1 de abril de 2017,
Total,De 0 a 4 años,Mujeres,1 de enero de 2017,1.037.413
Total,De 0 a 4 años,Mujeres,1 de octubre de 2016,
Total,De 0 a 4 años,Mujeres,1 de julio de 2016,1.046.948
Total,De 0 a 4 años,Mujeres,1 de abril de 2016,
Total,De 0 a 4 años,Mujeres,1 de enero de 2016,1.062.603
Total,De 0 a 4 años,Mujeres,1 de octubre de 2015,
Total,De 0 a 4 años,Mujeres,1 de julio de 2015,1.073.363
Total,De 0 a 4 años,Mujeres,1 de abril de 2015,
Total,De 0 a 4 años,Mujeres,1 de enero de 2015,1.090.210
Total,De 0 a 4 años,Mujeres,1 de octubre de 2014,
Total,De 0 a 4 años,Mujeres,1 de julio de 2014,1.103.044
Total,De 0 a 4 años,Mujeres,1 de abril de 2014,
Total,De 0 a 4 años,Mujeres,1 de enero de 2014,1.121.660
Total,De 0 a 4 años,Mujeres,1 de octubre de 2013,
Total,De 0 a 4 años,Mujeres,1 de julio de 2013,1.143.743
Total,De 0 a 4 años,Mujeres,1 de abril de 2013,
Total,De 0 a 4 años,Mujeres,1 de enero de 2013,1.171.041
Total,De 0 a 4 años,Mujeres,1 de octubre de 2012,
Total,De 0 a 4 años,Mujeres,1 de julio de 2012,1.183.455
Total,De 0 a 4 años,Mujeres,1 de abril de 2012,
Total,De 0 a 4 años,Mujeres,1 de enero de 2012,1.198.387
Total,De 0 a 4 años,Mujeres,1 de octubre de 2011,
Total,De 0 a 4 años,Mujeres,1 de julio de 2011,1.201.103
Total,De 0 a 4 años,Mujeres,1 de abril de 2011,
Total,De 0 a 4 años,Mujeres,1 de enero de 2011,1.209.101
Total,De 0 a 4 años,Mujeres,1 de octubre de 2010,
Total,De 0 a 4 años,Mujeres,1 de julio de 2010,1.204.803
Total,De 0 a 4 años,Mujeres,1 de abril de 2010,
Total,De 0 a 4 años,Mujeres,1 de enero de 2010,1.209.371
Total,De 5 a 9 años,Total,1 de octubre de 2023,2.204.290
Total,De 5 a 9 años,Total,1 de julio de 2023,2.209.380
Total,De 5 a 9 años,Total,1 de abril de 2023,2.217.403
Total,De 5 a 9 años,Total,1 de enero de 2023,2.221.807
Total,De 5 a 9 años,Total,1 de octubre de 2022,2.226.448
Total,De 5 a 9 años,Total,1 de julio de 2022,2.229.433
Total,De 5 a 9 años,Total,1 de abril de 2022,2.232.759
Total,De 5 a 9 años,Total,1 de enero de 2022,2.237.522
Total,De 5 a 9 años,Total,1 de octubre de 2021,2.248.264
Total,De 5 a 9 años,Total,1 de julio de 2021,2.252.820
Total,De 5 a 9 años,Total,1 de abril de 2021,2.266.152
Total,De 5 a 9 años,Total,1 de enero de 2021,2.276.513
Total,De 5 a 9 años,Total,1 de octubre de 2020,
Total,De 5 a 9 años,Total,1 de julio de 2020,2.296.690
Total,De 5 a 9 años,Total,1 de abril de 2020,
Total,De 5 a 9 años,Total,1 de enero de 2020,2.316.951
Total,De 5 a 9 años,Total,1 de octubre de 2019,
Total,De 5 a 9 años,Total,1 de julio de 2019,2.329.677
Total,De 5 a 9 años,Total,1 de abril de 2019,
Total,De 5 a 9 años,Total,1 de enero de 2019,2.347.303
Total,De 5 a 9 años,Total,1 de octubre de 2018,
Total,De 5 a 9 años,Total,1 de julio de 2018,2.377.885
Total,De 5 a 9 años,Total,1 de abril de 2018,
Total,De 5 a 9 años,Total,1 de enero de 2018,2.415.250
Total,De 5 a 9 años,Total,1 de octubre de 2017,
