ano,tipo,valor
2022,3.3.-Corrupción de menores o incapacitados,384
2022,3.4.-Pornografía de menores,707
2022,3.5.-Otros contra la libertad sexual,2226
2022,4. RELACIONES FAMILIARES,7567
2022,5. PATRIMONIO,1747464
2022,5.1.-Hurtos,642276
2022,5.2.-Robos con fuerza en las cosas,265901
2022,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,101084
2022,5.2.2.-Robos con fuerza en viviendas,86515
2022,5.2.3.-Robos con fuerza en establecimientos,31552
2022,5.3.-Robos con violencia o intimidación,63392
2022,5.3.1.-Robos con violencia en vía pública,43100
2022,5.3.2.-Robos con violencia en viviendas,3669
2022,5.3.3.-Robos con violencia en establecimientos,8210
2022,5.4.-Sustracción de vehículos,30767
2022,5.5.-Estafas,466566
2022,5.5.1.-Estafas informáticas,335995
2022,5.6.-Daños,213694
2022,5.7.-Contra la propiedad intelectual/industrial,1217
2022,5.8.-Blanqueo de capitales,411
2022,5.9.-Otros contra el patrimonio,63240
2022,6. SEGURIDAD COLECTIVA,76692
2022,6.1.-Tráfico de drogas,19057
2022,6.2.-Contra la seguridad vial,54976
2022,6.3.-Otros contra la seguridad colectiva,2659
2022,7. FALSEDADES,37717
2022,8. ADMÓN. PÚBLICA,509
2022,9. ADMÓN. JUSTICIA,37910
2022,TOTAL INFRACCIONES PENALES,2323075
2023,1. CONTRA LAS PERSONAS,226761
2023,1.1.-Homicidios dolosos/asesinatos,1692
2023,1.1.1.-Homicidios dolosos/asesinatos consumados,333
2023,1.2.-Lesiones,118125
2023,1.3.-Malos tratos ámbito familiar,101179
2023,1.4.-Otros contra las personas,5765
2023,10. ORDEN PÚBLICO,30011
2023,11. LEGISLACIÓN ESPECIAL,464
2023,12. OTRAS INFRACCIONES PENALES,11718
2023,2. CONTRA LA LIBERTAD,159113
2023,2.1.-Malos tratos habituales en el ámbito familiar,17120
2023,2.2.-Otros contra la libertad,141993
2023,3. LIBERTAD SEXUAL,21825
2023,3.1.-Agresión sexual,12727
2023,3.2.-Agresión sexual con penetración,4890
2023,3.3.-Corrupción de menores o incapacitados,389
2023,3.4.-Pornografía de menores,909
2023,3.5.-Otros contra la libertad sexual,2910
2023,4. RELACIONES FAMILIARES,7611
2023,5. PATRIMONIO,1846821
2023,5.1.-Hurtos,665622
2023,5.2.-Robos con fuerza en las cosas,272638
2023,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,104988
2023,5.2.2.-Robos con fuerza en viviendas,84721
2023,5.2.3.-Robos con fuerza en establecimientos,35072
2023,5.3.-Robos con violencia o intimidación,64711
2023,5.3.1.-Robos con violencia en vía pública,44406
