edad,sexo,periodo,total
De 20 a 24 años,Hombres,2015T1,"49,25"
De 20 a 24 años,Hombres,2014T4,"49,27"
De 20 a 24 años,Hombres,2014T3,"50,16"
De 20 a 24 años,Hombres,2014T2,"50,79"
De 20 a 24 años,Hombres,2014T1,"53,66"
De 20 a 24 años,Hombres,2013T4,"51,56"
De 20 a 24 años,Hombres,2013T3,"50,09"
De 20 a 24 años,Hombres,2013T2,"53,61"
De 20 a 24 años,Hombres,2013T1,"55,57"
De 20 a 24 años,Hombres,2012T4,"52,58"
De 20 a 24 años,Hombres,2012T3,"48,43"
De 20 a 24 años,Hombres,2012T2,"49,87"
De 20 a 24 años,Hombres,2012T1,"50,08"
De 20 a 24 años,Hombres,2011T4,"46,18"
De 20 a 24 años,Hombres,2011T3,"43,16"
De 20 a 24 años,Hombres,2011T2,"44,40"
De 20 a 24 años,Hombres,2011T1,"43,49"
De 20 a 24 años,Hombres,2010T4,"40,35"
De 20 a 24 años,Hombres,2010T3,"36,84"
De 20 a 24 años,Hombres,2010T2,"38,55"
De 20 a 24 años,Hombres,2010T1,"39,03"
De 20 a 24 años,Mujeres,2023T4,"24,25"
De 20 a 24 años,Mujeres,2023T3,"24,23"
De 20 a 24 años,Mujeres,2023T2,"26,05"
De 20 a 24 años,Mujeres,2023T1,"28,35"
De 20 a 24 años,Mujeres,2022T4,"28,11"
De 20 a 24 años,Mujeres,2022T3,"30,58"
De 20 a 24 años,Mujeres,2022T2,"26,87"
De 20 a 24 años,Mujeres,2022T1,"26,43"
De 20 a 24 años,Mujeres,2021T4,"27,90"
De 20 a 24 años,Mujeres,2021T3,"29,89"
De 20 a 24 años,Mujeres,2021T2,"36,55"
De 20 a 24 años,Mujeres,2021T1,"38,10"
De 20 a 24 años,Mujeres,2020T4,"37,16"
De 20 a 24 años,Mujeres,2020T3,"38,93"
De 20 a 24 años,Mujeres,2020T2,"38,20"
De 20 a 24 años,Mujeres,2020T1,"30,72"
De 20 a 24 años,Mujeres,2019T4,"29,36"
De 20 a 24 años,Mujeres,2019T3,"31,62"
De 20 a 24 años,Mujeres,2019T2,"32,26"
De 20 a 24 años,Mujeres,2019T1,"33,38"
De 20 a 24 años,Mujeres,2018T4,"30,79"
De 20 a 24 años,Mujeres,2018T3,"28,75"
De 20 a 24 años,Mujeres,2018T2,"29,86"
De 20 a 24 años,Mujeres,2018T1,"30,40"
De 20 a 24 años,Mujeres,2017T4,"33,74"
De 20 a 24 años,Mujeres,2017T3,"31,37"
De 20 a 24 años,Mujeres,2017T2,"34,69"
De 20 a 24 años,Mujeres,2017T1,"37,15"
De 20 a 24 años,Mujeres,2016T4,"39,31"
De 20 a 24 años,Mujeres,2016T3,"39,18"
De 20 a 24 años,Mujeres,2016T2,"44,18"
De 20 a 24 años,Mujeres,2016T1,"45,23"
De 20 a 24 años,Mujeres,2015T4,"43,20"
De 20 a 24 años,Mujeres,2015T3,"42,65"
De 20 a 24 años,Mujeres,2015T2,"43,94"
De 20 a 24 años,Mujeres,2015T1,"46,02"
De 20 a 24 años,Mujeres,2014T4,"48,44"
De 20 a 24 años,Mujeres,2014T3,"48,83"
De 20 a 24 años,Mujeres,2014T2,"49,09"
De 20 a 24 años,Mujeres,2014T1,"51,96"
De 20 a 24 años,Mujeres,2013T4,"50,22"
De 20 a 24 años,Mujeres,2013T3,"50,20"
De 20 a 24 años,Mujeres,2013T2,"51,51"
De 20 a 24 años,Mujeres,2013T1,"51,02"
De 20 a 24 años,Mujeres,2012T4,"50,12"
De 20 a 24 años,Mujeres,2012T3,"46,85"
De 20 a 24 años,Mujeres,2012T2,"47,45"
De 20 a 24 años,Mujeres,2012T1,"45,15"
De 20 a 24 años,Mujeres,2011T4,"41,73"
De 20 a 24 años,Mujeres,2011T3,"40,76"
De 20 a 24 años,Mujeres,2011T2,"39,75"
De 20 a 24 años,Mujeres,2011T1,"38,59"
De 20 a 24 años,Mujeres,2010T4,"36,09"
De 20 a 24 años,Mujeres,2010T3,"34,97"
De 20 a 24 años,Mujeres,2010T2,"35,12"
De 20 a 24 años,Mujeres,2010T1,"33,27"
De 25 a 29 años,Ambos sexos,2023T4,"15,73"
De 25 a 29 años,Ambos sexos,2023T3,"15,55"
De 25 a 29 años,Ambos sexos,2023T2,"14,29"
De 25 a 29 años,Ambos sexos,2023T1,"17,24"
De 25 a 29 años,Ambos sexos,2022T4,"17,14"
De 25 a 29 años,Ambos sexos,2022T3,"17,04"
De 25 a 29 años,Ambos sexos,2022T2,"14,34"
De 25 a 29 años,Ambos sexos,2022T1,"18,45"
De 25 a 29 años,Ambos sexos,2021T4,"18,92"
De 25 a 29 años,Ambos sexos,2021T3,"21,06"
De 25 a 29 años,Ambos sexos,2021T2,"22,25"
De 25 a 29 años,Ambos sexos,2021T1,"24,47"
De 25 a 29 años,Ambos sexos,2020T4,"23,53"
De 25 a 29 años,Ambos sexos,2020T3,"24,76"
De 25 a 29 años,Ambos sexos,2020T2,"23,72"
De 25 a 29 años,Ambos sexos,2020T1,"19,67"
De 25 a 29 años,Ambos sexos,2019T4,"19,03"
De 25 a 29 años,Ambos sexos,2019T3,"18,75"
De 25 a 29 años,Ambos sexos,2019T2,"18,65"
De 25 a 29 años,Ambos sexos,2019T1,"19,51"
De 25 a 29 años,Ambos sexos,2018T4,"19,07"
De 25 a 29 años,Ambos sexos,2018T3,"19,31"
De 25 a 29 años,Ambos sexos,2018T2,"20,57"
De 25 a 29 años,Ambos sexos,2018T1,"22,48"
De 25 a 29 años,Ambos sexos,2017T4,"21,71"
De 25 a 29 años,Ambos sexos,2017T3,"22,50"
De 25 a 29 años,Ambos sexos,2017T2,"22,90"
De 25 a 29 años,Ambos sexos,2017T1,"24,77"
De 25 a 29 años,Ambos sexos,2016T4,"24,05"
De 25 a 29 años,Ambos sexos,2016T3,"23,94"
De 25 a 29 años,Ambos sexos,2016T2,"26,00"
De 25 a 29 años,Ambos sexos,2016T1,"28,39"
De 25 a 29 años,Ambos sexos,2015T4,"27,57"
De 25 a 29 años,Ambos sexos,2015T3,"27,84"
De 25 a 29 años,Ambos sexos,2015T2,"28,41"
De 25 a 29 años,Ambos sexos,2015T1,"30,18"
De 25 a 29 años,Ambos sexos,2014T4,"29,77"
De 25 a 29 años,Ambos sexos,2014T3,"28,75"
De 25 a 29 años,Ambos sexos,2014T2,"30,01"
De 25 a 29 años,Ambos sexos,2014T1,"32,76"
De 25 a 29 años,Ambos sexos,2013T4,"32,39"
De 25 a 29 años,Ambos sexos,2013T3,"31,77"
De 25 a 29 años,Ambos sexos,2013T2,"33,76"
De 25 a 29 años,Ambos sexos,2013T1,"35,09"
De 25 a 29 años,Ambos sexos,2012T4,"33,66"
De 25 a 29 años,Ambos sexos,2012T3,"31,60"
