sexo,edad,tasa_de_riesgo_de_pobreza_o_exclusion_social_y_sus_componentes,periodo,total
Ambos sexos,De 30 a 44 años,Con carencia material severa,2017,"4,8"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2016,"5,5"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2015,"6,7"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2014,"7,9"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2013,"7,6"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2012,"7,0"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2011,"4,9"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2010,"5,2"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2023,"7,1"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2022,"7,1"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2021,"9,6"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2020,"8,0"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2019,"8,7"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2018,"8,6"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2017,"9,8"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2016,"10,9"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2015,"11,9"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2014,"14,4"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2013,"13,2"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2012,"12,1"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2011,"11,7"
Ambos sexos,De 30 a 44 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2010,"9,1"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2023,"26,1"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2022,"25,3"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2021,"27,6"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2020,"26,4"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2019,"26,2"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2018,"27,6"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2017,"28,0"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2016,"30,5"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2015,"31,0"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2014,"31,0"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2013,"28,9"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2012,"27,2"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2011,"25,8"
Ambos sexos,De 45 a 64 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2010,"24,2"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2023,"17,8"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2022,"18,0"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2021,"19,7"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2020,"19,2"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2019,"19,7"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2018,"21,3"
