ano,tipo,total
2022,total infracciones penales,770200
2023,1. contra las personas,195137
2023,1.1.-homicidios dolosos/asesinatos,1543
2023,1.1.1.-homicidios dolosos/asesinatos consumados,314
2023,1.2.-lesiones,90437
2023,1.3.-malos tratos ambito familiar,98745
2023,1.4.-otros contra las personas,4412
2023,10. orden publico,27959
2023,11. legislacion especial,392
2023,12. otras infracciones penales,8167
2023,2. contra la libertad,119929
2023,2.1.-malos tratos habituales en el ambito familiar,14691
2023,2.2.-otros contra la libertad,105238
2023,3. libertad sexual,17017
2023,3.1.-agresion sexual,10072
2023,3.2.-agresion sexual con penetracion,4031
2023,3.3.-corrupcion de menores o incapacitados,269
2023,3.4.-pornografia de menores,669
2023,3.5.-otros contra la libertad sexual,1976
2023,4. relaciones familiares,6994
2023,5. patrimonio,342640
2023,5.1.-hurtos,132746
2023,5.2.-robos con fuerza en las cosas,40048
2023,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10438
2023,5.2.2.-robos con fuerza en viviendas,11762
2023,5.2.3.-robos con fuerza en establecimientos,9411
2023,5.3.-robos con violencia o intimidacion,21379
2023,5.3.1.-robos con violencia en via publica,12404
2023,5.3.2.-robos con violencia en viviendas,1646
2023,5.3.3.-robos con violencia en establecimientos,5100
2023,5.4.-sustraccion de vehiculos,10752
2023,5.5.-estafas,70812
2023,5.5.1.-estafas informaticas,46628
2023,5.6.-danos,31896
2023,5.7.-contra la propiedad intelectual/industrial,1251
2023,5.8.-blanqueo de capitales,492
2023,5.9.-otros contra el patrimonio,33264
2023,6. seguridad colectiva,70301
2023,6.1.-trafico de drogas,18906
2023,6.2.-contra la seguridad vial,49677
2023,6.3.-otros contra la seguridad colectiva,1718
2023,7. falsedades,15758
2023,8. admon. publica,353
2023,9. admon. justicia,40085
2023,total infracciones penales,844732
